dogadjaj_id,predmet,tip,nastavnik,smjerovi,ciklus,semestar,godina,grupa,broj_studenata,ucionica_id,dan,pocetak,kraj,trajanje_sati
D0007,Algebra II,AV,Aleksandar Balašev-Samarski,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,G1,17,428,CETVRTAK,08:00,11:00,3
D0008,Algebra II,P,Manuela Muzika Dizdarević,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer,Bachelor,6,III godina,G1,17,RC,CETVRTAK,14:00,17:00,3
D0208,Teorija kodiranja i informacija,P,Amela Muratović-Ribić,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Master,3,II godina,G1,17,432,PONEDJELJAK,16:00,19:00,3
D0072,Integralne transformacije sa primjenama,P,Medina Zubača,Nastavnički smjer (matematika i informatika) | Nastavnički smjer (matematika) | Opći smjer | Primijenjena matematika,Master,3,II godina,G1,17,432,CETVRTAK,10:00,13:00,3
D0206,Teorija kodiranja i informacija,P,Amela Muratović-Ribić,Kompjuterske nauke,Master,1,I godina,G1,15,VRC,PETAK,11:00,14:00,3
D0156,Paralelno računanje i optimizacija,P,Damir Hasić,Kompjuterske nauke,Master,1,I godina,G1,15,419,PONEDJELJAK,11:00,14:00,3
D0078,Kompjutaciona geometrija,P,Adis Alihodžić,Kompjuterske nauke,Master,1,I godina,G1,15,432,UTORAK,12:00,15:00,3
D0098,Matematičke metode u obradi i analizi digitalnih slika,P,Adis Alihodžić,Kompjuterske nauke,Master,2,I godina,G1,15,441,SRIJEDA,12:00,15:00,3
D0088,Kriptologija,P,Amela Muratović-Ribić,Nastavnički smjer (matematika i informatika) | Opći smjer | Primijenjena matematika,Bachelor,5,III godina,G1,15,RC,SRIJEDA,14:00,17:00,3
D0128,Napredni algoritmi i strukture podataka,P,Esmir Pilav,Kompjuterske nauke,Master,2,I godina,G1,15,441,PONEDJELJAK,12:00,15:00,3
D0080,Kompjuterska grafika,P,Elmedin Selmanović,Kompjuterske nauke,Master,2,I godina,G1,15,426,PETAK,14:00,17:00,3
D0136,Neuronske mreže,P,Adis Alihodžić,Kompjuterske nauke,Master,1,I godina,G1,15,441,PETAK,15:00,18:00,3
